FIPS,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Median Age,lon,lat,Adult.obesity,Diabetes,Uninsured,Unemployment
16045,16.5,83.5,12.6,3.3,76.5,25165.373340000002,88.8,0.05,0.3,0.3,2.45,8.2,24.0,9.75,16537.0,23.4,13.75,0.409,16.05,25.65,17.55,26.05,2.65,14.85,13.25,41.7,-116.39878390000001,44.0614727,0.298,0.099,0.23,0.091
16047,23.8,76.2,11.5,2.8,65.25,24622.82159,71.95,0.1,0.35,0.6,1.25,25.8,22.65,18.1,14892.0,11.5,16.2,0.413,21.15,26.15,16.5,16.5,14.25,10.1,16.45,35.7,-114.8214203,42.9731849,0.308,0.098,0.27699999999999997,0.051
16049,14.3,85.7,12.3,3.3,67.85,19173.7727,92.45,0.2,2.6,0.25,2.15,2.35,32.45,10.3,15776.0,46.9,18.85,0.424,28.5,26.4,20.85,18.85,5.15,11.65,17.15,47.2,-115.46737549999999,45.849236700000006,0.281,0.105,0.213,0.09300000000000001
16051,14.2,85.8,17.8,5.2,75.65,24821.69397,87.75,0.15,0.5,0.3,1.25,10.05,13.5,10.3,24516.0,32.0,10.5,0.36700000000000005,11.8,29.35,12.6,24.1,5.5,12.9,15.6,30.1,-112.3185879,43.7969649,0.275,0.086,0.204,0.06
16053,28.4,71.6,12.1,3.2,69.3,22906.340640000002,69.2,0.2,1.0,0.15,0.95,28.5,22.05,7.85,21258.0,27.8,13.9,0.389,20.95,24.85,14.2,18.5,11.9,11.15,19.35,31.7,-114.2630091,42.6911715,0.32299999999999995,0.092,0.28300000000000003,0.064
16055,8.6,91.4,23.2,6.6,73.75,24769.07651,92.25,0.3,0.9,0.55,2.4,3.6,19.55,7.55,135977.0,31.3,11.55,0.431,15.45,30.9,17.05,26.65,0.75,13.15,11.5,38.5,-116.6949184,47.6771129,0.24100000000000002,0.085,0.187,0.084
16057,6.5,93.5,41.8,19.0,85.3,15180.804759999999,91.05,0.8,0.45,1.9,2.65,3.15,28.45,4.7,37377.0,46.2,22.2,0.452,18.0,38.3,19.95,22.6,2.55,8.05,8.5,27.9,-116.73097369999999,46.81892020000001,0.248,0.073,0.177,0.064
16059,8.1,91.9,22.3,8.5,70.2,19726.3908,94.6,0.45,0.3,0.35,1.6,2.7,30.3,11.85,7877.0,60.9,18.0,0.449,27.0,31.65,18.7,19.95,4.0,13.95,11.75,47.8,-113.8878408,44.9287886,0.217,0.105,0.205,0.099
16061,9.8,90.2,15.5,2.5,73.4,20544.10826,89.5,0.2,3.7,0.3,3.7,2.55,26.2,6.1,3733.0,34.8,15.1,0.375,28.85,27.85,23.25,19.45,6.25,11.65,11.55,47.6,-116.42376000000002,46.2363277,0.293,0.10800000000000001,0.22699999999999998,0.057999999999999996
16063,23.4,76.6,11.4,3.5,62.8,26300.202540000002,71.75,0.2,0.35,0.2,1.05,26.4,27.35,28.35,4870.0,26.4,15.2,0.375,17.5,21.05,16.0,18.35,8.45,21.45,14.55,34.3,-114.1538989,42.986180499999996,0.257,0.073,0.289,0.091
16065,4.8,95.2,30.0,10.2,81.65,8699.575238,91.55,0.55,0.35,0.95,1.4,5.2,30.4,10.1,37328.0,28.8,33.35,0.449,22.05,30.7,19.65,28.5,1.3,10.05,9.85,22.5,-111.65655,43.789708700000006,0.26,0.059000000000000004,0.163,0.055
16067,25.1,74.9,9.4,3.0,71.9,21954.40953,66.2,0.1,0.65,0.3,1.65,31.05,19.95,8.5,19434.0,15.9,13.25,0.379,20.1,23.15,16.85,18.4,7.8,11.8,22.0,35.8,-113.64000949999999,42.8569373,0.301,0.11800000000000001,0.247,0.061
16069,10.3,89.7,18.2,5.2,72.65,25289.90953,88.8,0.25,4.65,0.95,2.6,2.7,24.2,7.0,38978.0,45.3,13.0,0.431,18.3,27.4,18.7,26.0,0.75,10.75,16.4,40.6,-116.76090249999999,46.33376629999999,0.322,0.114,0.16699999999999998,0.059000000000000004
16071,7.7,92.3,15.6,5.9,81.7,22088.49651,95.45,0.1,0.45,0.25,0.85,2.9,23.05,11.25,4217.0,44.9,13.8,0.374,15.2,33.95,12.15,18.5,5.9,12.15,17.3,39.0,-112.5204649,42.18388970000001,0.317,0.1,0.18,0.040999999999999995
16073,24.9,75.1,10.3,2.0,71.8,24073.03429,69.3,0.15,3.0,0.35,1.85,25.35,33.0,9.35,11260.0,28.3,21.35,0.43700000000000006,32.0,30.95,14.0,16.2,13.3,12.3,13.35,35.3,-116.1426554,42.593063,0.301,0.114,0.316,0.047
16075,16.3,83.7,13.8,4.1,72.35,23086.48635,81.6,0.15,0.85,0.65,2.05,14.75,30.95,8.2,22578.0,28.7,14.75,0.39399999999999996,21.45,25.0,18.3,23.9,2.6,11.15,19.1,36.9,-116.7486549,44.00273970000001,0.275,0.092,0.212,0.08
