County;Less Than High School Diploma;At Least High School Diploma;At Least Bachelors's Degree;Graduate Degree;School Enrollment;Median Earnings 2010;White (Not Latino) Population;African American Population;Native American Population;Asian American Population;Other Race or Races;Latino Population;Children Under 6 Living in Poverty;Adults 65 and Older Living in Poverty;Total Population;Preschool.Enrollment.Ratio.enrolled.ages.3.and.4;Poverty.Rate.below.federal.poverty.threshold;Gini.Coefficient;Child.Poverty.living.in.families.below.the.poverty.line;Management.professional.and.related.occupations;Service.occupations;Sales.and.office.occupations;Farming.fishing.and.forestry.occupations;Construction.extraction.maintenance.and.repair.occupations;Production.transportation.and.material.moving.occupations;Median Age;lon;lat;Adult.obesity;Diabetes;Uninsured;Unemployment
Dorchester County, South Carolina;11.1;88.9;24.1;8.0;77.85;29869.782855;66.7;25.3;0.55;1.45;2.15;3.8;20.1;9.7;129498;56.7;11.2;0.395;16.15;32.0;15.75;26.45;0.35000000000000003;12.85;12.65;35.7;-80.4046966;33.0821859;0.29;0.10300000000000001;0.171;0.073
Maury County, Tennessee;16.6;83.4;16.1;5.4;76.0;26622.369525;80.35;12.5;0.25;0.5;1.5;4.9;19.25;8.8;80573;45.7;13.25;0.423;17.75;28.7;16.5;25.85;0.45;11.6;16.85;37.9;-87.0777632;35.6156963;0.353;0.11800000000000001;0.157;0.093
Lapeer County, Michigan;10.9;89.1;17.0;5.6;80.25;29047.084445;93.15;1.1;0.30000000000000004;0.35000000000000003;1.15;3.95;18.2;8.6;89886;43.4;10.15;0.41300000000000003;15.2;29.6;15.65;21.95;0.75;10.95;21.15;40.3;-83.2243247;43.0886327;0.335;0.097;0.134;0.11800000000000001
Deer Lodge County, Montana;14.9;85.1;18.8;4.8;58.25;20442.653335;91.05;0.9500000000000001;2.55;0.25;2.65;2.55;27.35;7.6;9087;49.4;21.15;0.426;31.35;25.9;25.0;19.95;0.5;16.35;12.3;46.2;-113.1391079;46.0990592;0.274;0.081;0.199;0.074
Grand County, Colorado;5.2;94.8;28.8;7.4;57.3;31313.353015;90.5;0.35000000000000003;0.2;0.6000000000000001;1.8;6.55;10.55;6.9;14196;59.0;7.35;0.358;9.3;28.25;15.95;27.45;0.55;21.25;6.65;40.4;-106.0958757;40.1232891;0.18;0.055;0.196;0.076
Lucas County, Ohio;12.9;87.1;23.0;8.3;77.95;25955.941905;72.3;18.15;0.2;1.4;2.15;5.8;30.5;8.65;453385;41.0;17.65;0.47400000000000003;25.0;30.75;18.95;25.55;0.1;7.75;17.0;36.6;-83.4688665;41.6823213;0.318;0.10300000000000001;0.147;0.08
Custer County, South Dakota;8.0;92.0;28.6;9.1;71.8;27812.48222;92.5;0.1;2.95;0.15;1.75;2.5;15.3;15.05;8040;25.3;9.5;0.389;10.35;44.25;14.45;17.25;2.55;12.05;9.4;49.6;-103.46225;43.6849428;0.249;0.095;0.136;0.046
Dallas County, Texas;23.5;76.5;28.0;9.6;72.55;27634.778095;34.6;20.95;0.30000000000000004;4.75;1.45;38.0;29.5;10.6;2375632;38.1;17.4;0.492;26.0;31.7;16.55;25.85;0.2;12.55;13.2;32.3;-96.7784238;32.7669866;0.303;0.092;0.305;0.07200000000000001
Somervell County, Texas;12.6;87.4;28.4;5.9;83.55;31191.175555;80.0;0.45;0.25;0.25;1.3;17.75;30.45;10.5;8110;54.8;13.35;0.453;21.55;40.8;20.15;16.65;0.0;11.45;11.05;39.2;-97.7692109;32.217942;0.28400000000000003;0.10400000000000001;0.23700000000000002;0.06
Crawford County, Michigan;15.7;84.3;14.1;4.1;73.2;19397.191745;95.05;1.5;0.45;0.4;1.3;1.35;35.6;8.2;14296;46.3;17.55;0.441;31.0;28.7;21.4;22.1;0.30000000000000004;11.65;15.9;46.1;-84.6111321;44.6802083;0.297;0.11;0.14300000000000002;0.101
Huron County, Michigan;15.4;84.6;13.8;4.3;78.35;23811.52095;96.1;0.25;0.25;0.45;1.0;1.9500000000000002;20.2;9.5;33136;52.3;13.0;0.428;17.25;28.45;17.95;20.7;3.4;9.45;20.05;45.7;-82.8570449;43.907616;0.29;0.107;0.147;0.081
