County,State,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Gini.Coefficient,Child.Poverty.living.in.families.below.the.poverty.line,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,Median Age,lon,lat,Adult.obesity,Diabetes,Uninsured,Unemployment
Highland County, Virginia,26.3,73.7,21.4,7.8,75.9,28651.18794,98.2,0.15,0.4,0.1,0.55,0.65,6.6,11.2,2360,0,10.55,0.413,13.9,25.05,10.8,25.25,6.35,20.3,12.3,52.4,-79.5679583,38.3566717,0.28,0.124,0.253,0.061
Hopewell city, Virginia,23.9,76.1,10.9,3.7,70.8,26569.73842,54.35,37.25,0.15,0.75,2.1,5.4,42.3,12.8,22762,27,20.85,0.4,34.9,21.3,22.45,27.15,0,12.75,16.35,36.1,-77.2989443,37.2910098,0.341,0.128,0.183,0.087
Isle of Wight County, Virginia,13.8,86.2,25.1,9.2,79.95,33260.81905,71.1,24.7,0.2,0.6,1.55,1.8,17.75,6.65,34987,64.2,8.15,0.413,13.65,34.85,16.05,22.95,0.2,12.75,13.25,42.6,-76.7075688,36.9014184,0.317,0.134,0.125,0.06
James City County, Virginia,6.7,93.3,45,20.4,78.95,36726.82508,78.75,13.2,0.2,2.1,2,3.75,15.75,2.25,63936,54.9,6.65,0.416,10.7,45.45,17.9,23.1,0,7.95,5.5,44.3,-76.7783194,37.3244273,0.265,0.106,0.115,0.051
King and Queen County, Virginia,24.2,75.8,9.9,2.6,60,29271.21842,65.3,30.8,1.15,0.1,0.85,1.8,34.9,15.4,6875,74.2,14.8,0.4,25,23.35,13.05,21.95,1.5,19.8,20.3,42.5,-76.8910903,37.7209945,0.339,0.124,0.186,0.068
King George County, Virginia,9.8,90.2,30.5,10.3,70.25,39105.16064,74.85,17.4,0.45,1.05,2.9,3.25,11.8,5.35,22935,38.5,6.75,0.371,9.5,44.75,14.35,21.05,0.55,10.35,8.95,36,-77.1627015,38.2771787,0.289,0.109,0.1,0.07
King William County, Virginia,13,87,19.8,5.4,77.45,35919.03365,76.15,18.35,1.55,0.6,1.55,1.75,9.8,5.4,15713,52.5,7.55,0.345,10.1,26.3,9.7,28.35,0.65,20.35,14.6,39.1,-77.0910539,37.7082604,0.32,0.103,0.147,0.063
Lancaster County, Virginia,17.7,82.3,27.7,8.6,76.55,27168.66667,70.3,27.65,0.05,0.55,0.65,0.8,25.15,6.9,11399,47.2,11.05,0.439,22.7,30.25,22.45,22.15,0.8,14.4,9.95,53.4,-76.4131985,37.7038307,0.317,0.14,0.173,0.082
Lee County, Virginia,28.5,71.5,12,3.8,71.3,21698.15143,94.7,3.25,0.2,0.2,0.55,1.15,44.8,18.85,25294,29.2,21.95,0.426,28.65,24.2,17.15,25.95,1.25,14.2,17.3,40.7,-83.1303336,36.7021617,0.33,0.111,0.163,0.083
Lexington city, Virginia,18.7,81.3,44.4,23.7,93.35,5300.947937,82.2,7.4,0.05,2.6,2.8,4.95,51,22.6,6975,71.9,30.5,0.514,32.5,43.65,21.75,26.05,0,1.95,6.5,22.4,-79.4443196,37.7823316,0.288,0.091,0.185,0.114
Loudoun County, Virginia,6.5,93.5,57.2,21.6,84.4,54543.62603,64.9,7.25,0.15,13.45,3.05,11.25,3,4.25,294888,61.3,3,0.367,2.9,55.8,11.25,22.55,0.15,5.2,5.05,34.3,-77.6388572,39.0811303,0.225,0.073,0.093,0.042
Louisa County, Virginia,19.4,80.6,17.9,6,70.45,31250.91334,77.6,17.9,0.3,0.45,1.95,1.8,11.3,11.85,32407,31.3,11,0.426,12.15,29.35,14.75,24.8,0.85,14.9,15.35,42.3,-77.9591779,37.9716808,0.34,0.112,0.166,0.064
Lunenburg County, Virginia,28.5,71.5,10,3,72.35,24528.98095,59.3,35.7,0.15,0.1,1.45,3.35,32.35,16.95,12911,35.4,18.55,0.392,27.35,21.15,19.65,26.75,1.9,10.75,19.85,43,-78.242313,36.9457567,0.338,0.134,0.191,0.084
Lynchburg city, Virginia,16.9,83.1,28.3,10.8,82.95,18501.01238,64.7,28.6,0.2,2.2,1.85,2.45,40.1,10.35,73462,50.4,21.85,0.502,31.15,32.7,21.6,26.8,0.15,5.9,12.8,31.6,-79.1954582,37.3990161,0.331,0.109,0.166,0.076
Madison County, Virginia,19.6,80.4,20.7,8.5,70.85,30954.29651,85.5,10.05,0.4,0.3,1.7,2.1,30.8,11.6,13439,42.2,12.75,0.383,18.85,34.25,15.4,19.75,3.65,15,12,43.3,-78.2769613,38.4120586,0.33,0.107,0.186,0.047
Manassas city, Virginia,19.4,80.6,28.3,9.7,74.65,34042.72,51.2,12.15,0.2,4.5,2.75,29.3,20,6.2,36690,38.1,12.55,0.388,18.9,33.1,17.6,25.25,0.1,15.6,8.5,32.1,-77.484727,38.7475611,0.296,0.087,0.207,0.063
Manassas Park city, Virginia,21.5,78.5,21.9,9.5,73.7,36779.90191,46.55,11.6,0.1,7.6,2.7,31.45,5.95,4.35,12953,37.2,6.4,0.339,9.2,31.8,19.45,20.45,0.1,18.4,9.7,30.6,-77.4486805,38.768991,0.305,0.083,0.231,0.05
Martinsville city, Virginia,21.7,78.3,20.4,6.8,76.65,21323.02318,50.45,43.15,0.2,0.85,0.95,4.3,35.9,16.85,14240,50,22.15,0.478,30.25,25.75,19.45,28.7,0,4.8,21.3,43.4,-79.8636475,36.6835269,0.323,0.135,0.16,0.16
Mathews County, Virginia,15.5,84.5,20.6,9.3,69.5,31953.00572,86.95,9.45,0.45,0.45,1.4,1.35,12.95,4.55,8994,24.6,7.7,0.43,6.95,29.65,10.7,23.35,2.8,15.85,17.65,48.9,-76.2688077,37.4253479,0.274,0.13,0.161,0.054
Mecklenburg County, Virginia,24.8,75.2,13.4,4.8,73.5,22376.19207,58.95,36.95,0.1,0.65,1.05,2.3,29.5,14.2,32357,46.7,17.95,0.451,24.05,28.75,16.7,23.7,2.1,11.95,16.7,45.1,-78.3689592,36.6872563,0.328,0.128,0.187,0.098
Middlesex County, Virginia,12.4,87.6,27.5,10.3,73.5,23250.38445,79,17.6,0.2,0.35,1.4,1.4,1.9,9.75,10792,21.5,10.65,0.442,14.1,37.15,14.75,21.05,0.75,14.15,12.15,50.4,-76.5279582,37.6068281,0.285,0.127,0.176,0.063
Montgomery County, Virginia,11.9,88.1,39.4,20.5,88.5,14763.1654,86.6,3.9,0.15,5.15,1.8,2.4,18.5,6,91750,52.6,23,0.471,14.55,44.6,18.6,20.15,0.45,6.55,9.75,26,-80.387314,37.1748845,0.27,0.069,0.158,0.061
Nelson County, Virginia,22.3,77.7,22.9,8.9,72.35,28871.84159,81.9,13.25,0.15,0.3,1.4,3.05,9.95,9.6,15112,58,12.95,0.44,16.95,32.55,21.15,17.85,2.4,14.6,11.4,46.4,-78.8793935,37.790016,0.254,0.121,0.183,0.054
New Kent County, Virginia,13.7,86.3,22.6,5.9,79,35381.96,80.4,14.9,1.15,0.7,1.4,1.45,3.45,7.65,17783,51.8,4.6,0.394,4.85,35.15,14.05,26.45,0.05,14.9,9.4,41.9,-76.9933392,37.4989741,0.3,0.106,0.133,0.056
Newport News city, Virginia,11.1,88.9,23.5,8,71.25,26841.67937,47.35,39.95,0.35,2.65,3.35,6.35,23.9,8.4,186677,48.5,13.5,0.414,19.7,31.5,19.55,25.25,0.3,10.95,12.4,32,-76.5217187,37.0759784,0.339,0.112,0.158,0.072
Norfolk city, Virginia,16.1,83.9,23.7,9.7,62.7,24864.25651,45.1,42.7,0.4,3.15,2.9,5.75,27.3,11.8,239437,50.3,16.75,0.466,26.15,30.9,19.7,26.4,0.3,11.3,11.45,29.5,-76.2446413,36.9230149,0.352,0.097,0.177,0.079
Northampton County, Virginia,22,78,18.8,7,65,24004.0308,54.4,36.5,0.1,0.8,1.6,6.6,30.85,22.5,12905,29,18.75,0.506,24,31.45,19.6,21.8,6.3,10.9,10.05,46.3,-75.9238683,37.3026286,0.298,0.151,0.215,0.088
Northumberland County, Virginia,15.9,84.1,22.3,8.8,74.95,23637.51905,71.3,25.1,0.15,0.5,0.75,2.25,23.4,4.8,12610,43.5,10.25,0.414,20.1,31.2,16.25,24.3,2.55,13.9,11.75,52.6,-76.3796872,37.8569736,0.296,0.134,0.187,0.085
Norton city, Virginia,22.4,77.6,20.6,7.6,71.65,24951.19365,90.05,5.65,0.05,1.05,2.3,0.85,57.95,21.5,3823,38.4,23.85,0.539,29,24,17.85,30.3,0,12.35,15.55,40.4,-82.625996,36.9315489,0.283,0.099,0.118,0.067
Nottoway County, Virginia,27.2,72.8,11.6,5.8,69.05,27318.05175,55.7,38.85,0.8,0.2,1.1,3.4,25.9,16.1,15821,42.4,17.45,0.443,25.3,22.1,22.75,24.25,2.4,17.4,11.1,41.9,-78.0521623,37.1436955,0.361,0.117,0.186,0.072
Orange County, Virginia,16.5,83.5,21.5,6.4,73.5,31629.79746,81.3,13.05,0.1,0.55,1.9,3.1,19,9.35,32810,45,9.2,0.396,11.55,32.65,15.6,24.35,1.15,12.65,13.55,42.1,-78.0099795,38.2504394,0.326,0.118,0.158,0.066
Page County, Virginia,27.5,72.5,11.1,3.8,71.9,24626.66095,95,2,0.2,0.35,1,1.55,29.55,6.4,24034,52.2,12.9,0.428,20.9,20.5,20.5,20.9,1.25,18.05,18.8,42.4,-78.4904708,38.6237508,0.309,0.105,0.178,0.101
Patrick County, Virginia,25.9,74.1,9.5,2.3,75.05,22956.8473,90.3,5.95,0.25,0.2,0.85,2.45,23.95,14.65,18622,16.7,14.05,0.391,21.3,24.3,15.05,23.55,1.05,11.8,24.25,45.4,-80.2861409,36.6673274,0.292,0.122,0.185,0.08
Petersburg city, Virginia,28,72,15.2,4.5,66.7,25055.07238,16.4,77.7,0.2,0.9,1.4,3.4,29.85,10.85,32632,32.7,19,0.415,30.95,25.5,25.35,25.1,0.15,8,15.95,39.6,-77.3923681,37.2047302,0.378,0.156,0.176,0.113
Pittsylvania County, Virginia,24,76,12.8,4,76.65,25759.60603,74.1,22.45,0.1,0.3,1,2.05,24.45,15.85,62331,50.4,15.05,0.417,21.1,22.95,15.75,23.95,2.4,12.35,22.6,43.4,-79.3985019,36.8217206,0.309,0.126,0.174,0.073
Poquoson city, Virginia,6.1,93.9,36,14.9,84.5,39557.61651,93,0.65,0.15,2.9,1.45,1.75,2.75,10.05,11962,66.9,4.8,0.401,5.3,44.25,11.9,25.3,1.9,9.25,7.4,42.3,-76.3035337,37.1283599,0.295,0.105,0.099,0.054
